Player,position,age,games played,dob,origin,height,weight
angus sheldrick,"Midfield, Forward",19yr 7mth,7,"November 7, 2003",Claremont,179cm,88kg
anthony caminiti,Forward,19yr 6mth,11,"December 9, 2003",Northern Knights,196cm,83kg
anthony mcdonald tipungwuti,Forward,30yr 2mth,132,"April 22, 1993",Gippsland Power,171cm,78kg
anthony scott,"Midfield, Forward",28yr 3mth,49,"February 28, 1995",Footscray,180cm,77kg
archie perkins,Forward,21yr 2mth,53,"March 26, 2002",Sandringham Dragons,188cm,80kg
arthur jones,Forward,19yr 11mth,11,"July 18, 2003",Claremont,179cm,65kg
ash johnson,Forward,25yr 8mth,21,"October 6, 1997",Sturt,193cm,87kg
bailey banfield,Forward,25yr 3mth,73,"February 26, 1998",Claremont,190cm,88kg
bailey dale,Defender,26yr 11mth,122,"July 22, 1996",Dandenong Stingrays,187cm,83kg
bailey humphrey,"Midfield, Forward",18yr 9mth,11,"September 11, 2004",Gippsland Power,186cm,83kg
bailey laurie,"Midfield, Forward",21yr 3mth,2,"March 24, 2002",Oakleigh Chargers,179cm,81kg
bailey macdonald,Defender,18yr 10mth,1,"August 4, 2004",Oakleigh Chargers,182cm,74kg
bailey scott,"Defender, Midfield",22yr 11mth,69,"July 9, 2000",Gc Suns Academy,186cm,77kg
bailey smith,"Midfield, Forward",22yr 6mth,96,"December 7, 2000",Sandringham Dragons,185cm,86kg
bailey williams,"Defender, Midfield",25yr 8mth,118,"October 10, 1997",Glenelg,189cm,86kg
bailey williams,"Defender, Midfield",25yr 8mth,118,"October 10, 1997",Glenelg,189cm,86kg
bayley fritsch,Forward,26yr 6mth,122,"December 6, 1996",Casey Demons,188cm,84kg
beau mccreery,Forward,22yr 2mth,49,"April 19, 2001",South Adelaide,186cm,84kg
ben ainsworth,Forward,25yr 4mth,108,"February 10, 1998",Gippsland Power,179cm,77kg
ben brown,Forward,30yr 7mth,165,"November 20, 1992",Werribee Tigers,200cm,101kg
ben cunnington,"Midfield, Forward",31yr 11mth,237,"June 30, 1991",Geelong Falcons,185cm,88kg
ben hobbs,"Midfield, Forward",19yr 9mth,26,"September 16, 2003",GWV Rebels,183cm,79kg
ben keays,"Midfield, Forward",26yr 4mth,104,"February 23, 1997",Brisbane Reserves,186cm,89kg
ben king,Forward,22yr 11mth,67,"July 7, 2000",Sandringham Dragons,202cm,98kg
ben long,"Defender, Forward",25yr 10mth,91,"August 21, 1997",Nt Thunder,183cm,81kg
ben mckay,Defender,25yr 6mth,62,"December 24, 1997",Gippsland Power,201cm,99kg
ben miller,"Defender, Ruck",23yr 9mth,20,"August 31, 1999",Subiaco,198cm,96kg
ben paton,Defender,24yr 8mth,67,"October 19, 1998",Murray Bushrangers,186cm,81kg
billy frampton,"Defender, Ruck",26yr 7mth,33,"November 20, 1996",South Fremantle,201cm,99kg
blake acres,Midfield,27yr 8mth,133,"October 7, 1995",West Perth,189cm,92kg
blake drury,"Midfield, Forward",18yr 7mth,3,"November 1, 2004",Oakleigh Chargers,176cm,73kg
blake hardwick,Defender,26yr 4mth,138,"February 5, 1997",Eastern Ranges,182cm,81kg
bodhi uwland,"Defender, Midfield",19yr 11mth,3,"July 25, 2003",Allies,185cm,84kg
brad crouch,Midfield,29yr 5mth,150,"January 14, 1994",North Ballarat Rebels,186cm,86kg
bradley hill,"Defender, Forward",29yr 11mth,225,"July 9, 1993",West Perth,182cm,81kg
brady hough,"Defender, Midfield",20yr 3mth,23,"March 5, 2003",Peel Thunder,190cm,77kg
braeden campbell,Defender,21yr 4mth,39,"February 4, 2002",Sydney Academy,181cm,79kg
brandan parfitt,Midfield,25yr 1mth,117,"April 27, 1998",Nt Thunder,180cm,83kg
brandon ellis,"Defender, Midfield",29yr 10mth,238,"August 3, 1993",Calder Cannons,181cm,82kg
brandon starcevich,Defender,23yr 11mth,85,"July 24, 1999",East Perth,187cm,92kg
brandon walker,Defender,20yr 8mth,42,"October 17, 2002",East Fremantle,186cm,80kg
brandon zerk thatcher,Defender,24yr 10mth,42,"August 25, 1998",Sturt,195cm,89kg
brayden fiorini,Midfield,25yr 10mth,88,"August 22, 1997",Northern Knights,186cm,84kg
brayden maynard,Defender,26yr 9mth,175,"September 20, 1996",Sandringham Dragons,189cm,93kg
brennan cox,Defender,24yr 10mth,96,"August 13, 1998",Woodville-West Torrens,195cm,100kg
brent daniels,Forward,24yr 3mth,73,"March 9, 1999",Bendigo Pioneers,174cm,76kg
brodie grundy,Ruck,29yr 2mth,191,"April 15, 1994",Sturt,203cm,104kg
brodie kemp,"Defender, Forward",22yr 1mth,12,"May 1, 2001",Bendigo Pioneers,193cm,88kg
brodie smith,Defender,31yr 5mth,238,"January 14, 1992",Woodville West Torrens,189cm,88kg
brody mihocek,Forward,30yr 4mth,116,"February 4, 1993",Port Melbourne,192cm,97kg
brynn teakle,Ruck,23yr 8mth,6,"October 16, 1999",East Fremantle,204cm,96kg
caleb daniel,"Defender, Forward",26yr 11mth,167,"July 7, 1996",South Adelaide,170cm,71kg
caleb serong,Midfield,22yr 4mth,72,"February 9, 2001",Gippsland Power,179cm,83kg
callan ward,"Midfield, Forward",33yr 2mth,283,"April 10, 1990",Western Jets,187cm,83kg
callum ah chee,Midfield,25yr 8mth,107,"October 9, 1997",South Fremantle,183cm,81kg
callum coleman jones,"Forward, Ruck",24yr,25,"June 13, 1999",Sturt,200cm,105kg
callum jamieson,Ruck,22yr 10mth,13,"July 31, 2000",Claremont,200cm,94kg
callum mills,Midfield,26yr 2mth,145,"April 2, 1997",North Shore,187cm,87kg
callum wilkie,Defender,27yr 3mth,99,"March 10, 1996",North Adelaide,191cm,87kg
cameron fleeton,Defender,21yr,2,"June 17, 2002",Geelong Falcons,192cm,86kg
cameron guthrie,Midfield,30yr 10mth,236,"August 19, 1992",Calder Cannons,187cm,88kg
cameron zurhaar,Forward,25yr 1mth,96,"May 22, 1998",East Fremantle,189cm,92kg
campbell chesser,"Defender, Midfield",20yr 1mth,6,"April 27, 2003",Sandringham Dragons,186cm,83kg
chad warner,Midfield,22yr 1mth,53,"May 19, 2001",East Fremantle,181cm,82kg
chad wingard,Forward,29yr 10mth,211,"July 29, 1993",Sturt,183cm,82kg
changkuoth jiath,Defender,24yr,45,"June 13, 1999",Ethiopia,185cm,80kg
charlie ballard,Defender,23yr 11mth,101,"July 23, 1999",Sturt,196cm,95kg
charlie cameron,Forward,28yr 11mth,190,"July 5, 1994",Swan Districts,180cm,76kg
charlie comben,Forward,21yr 11mth,9,"July 20, 2001",Gippsland Power,199cm,84kg
charlie constable,"Defender, Midfield",24yr 1mth,16,"May 18, 1999",Sandringham Dragons,192cm,86kg
charlie curnow,Forward,26yr 4mth,98,"February 3, 1997",Geelong Falcons,192cm,92kg
charlie dixon,Forward,32yr 9mth,198,"September 23, 1990",Redland,200cm,107kg
charlie lazzaro,Forward,21yr 3mth,26,"March 25, 2002",Geelong Falcons,179cm,73kg
charlie spargo,Forward,23yr 7mth,94,"November 25, 1999",Murray Bushrangers,173cm,76kg
chayce jones,"Defender, Midfield",23yr 5mth,70,"January 14, 2000",Launceston,180cm,82kg
christian petracca,Midfield,27yr 5mth,165,"January 4, 1996",Eastern Ranges,187cm,98kg
christian salem,Defender,27yr 11mth,148,"July 15, 1995",Sandringham Dragons,184cm,84kg
clayton oliver,Midfield,25yr 11mth,157,"July 22, 1997",Murray Bushrangers,189cm,87kg
cody weightman,Forward,22yr 5mth,50,"January 15, 2001",Dandenong Stingrays,178cm,74kg
connor idun,Defender,22yr 10mth,56,"July 29, 2000",Geelong Falcons,191cm,91kg
connor macdonald,Forward,20yr 5mth,32,"January 13, 2003",Dandenong Stingrays,185cm,83kg
connor rozee,"Midfield, Forward",23yr 5mth,95,"January 22, 2000",North Adelaide,185cm,80kg
connor west,"Midfield, Forward",24yr 1mth,28,"May 7, 1999",West Perth,182cm,81kg
conor mckenna,Defender,27yr 2mth,93,"March 28, 1996","Eglish, Tyrone",184cm,88kg
conor nash,Midfield,24yr 10mth,64,"July 28, 1998",Dublin,197cm,94kg
conor stone,Forward,21yr 2mth,9,"April 22, 2002",Oakleigh Chargers,188cm,88kg
cooper hamilton,"Defender, Midfield",19yr 9mth,8,"September 24, 2003",Bendigo Pioneers,184cm,85kg
cooper sharman,"Defender, Forward",22yr 11mth,21,"July 25, 2000",Woodville-West Torrens,193cm,86kg
cooper whyte,"Midfield, Forward",20yr 4mth,1,"February 24, 2003",Geelong Falcons,181cm,78kg
corey durdin,Forward,21yr 2mth,33,"April 14, 2002",Central Districts,173cm,76kg
corey wagner,"Defender, Midfield",26yr 3mth,21,"March 23, 1997",Aspley,181cm,75kg
corey warner,"Midfield, Forward",19yr 8mth,2,"October 7, 2003",East Fremantle,182cm,71kg
curtis taylor,"Midfield, Forward",23yr 2mth,61,"April 6, 2000",Calder Cannons,187cm,78kg
dan houston,Defender,26yr 1mth,135,"May 12, 1997",Oakleigh Chargers,186cm,88kg
dane rampe,Defender,33yr,222,"June 2, 1990",Williamstown,188cm,91kg
daniel howe,Midfield,27yr 6mth,104,"December 4, 1995",Murray Bushrangers,193cm,88kg
daniel lloyd,Forward,31yr 4mth,89,"February 18, 1992",Killarney Vale,187cm,83kg
daniel mcstay,Forward,28yr,166,"June 24, 1995",Eastern Ranges,195cm,98kg
daniel rich,Defender,33yr,275,"June 7, 1990",Subiaco Football Club,183cm,95kg
daniel rioli,Defender,26yr 2mth,151,"April 16, 1997",North Ballarat Rebels,179cm,77kg
daniel turner,Defender,21yr 4mth,2,"January 28, 2002",Murray Bushrangers,194cm,88kg
darcy byrne jones,"Defender, Forward",27yr 9mth,163,"September 20, 1995",Oakleigh Chargers,181cm,76kg
darcy cameron,"Forward, Ruck",27yr 11mth,61,"July 18, 1995",Claremont,204cm,101kg
darcy fogarty,Forward,23yr 9mth,70,"September 25, 1999",Glenelg,194cm,99kg
darcy fort,"Forward, Ruck",29yr 10mth,31,"August 6, 1993",Central District,204cm,98kg
darcy gardiner,Defender,27yr 9mth,156,"September 22, 1995",Geelong Falcons,192cm,91kg
darcy macpherson,"Defender, Forward",25yr 7mth,86,"October 29, 1997",Northern Knights,174cm,79kg
darcy moore,Defender,27yr 5mth,140,"January 25, 1996",Oakleigh Chargers,203cm,100kg
darcy parish,Midfield,25yr 11mth,141,"July 25, 1997",Geelong Falcons,180cm,82kg
darcy tucker,"Midfield, Forward",26yr 5mth,117,"January 23, 1997",North Ballarat Rebels,185cm,85kg
darcy wilmot,"Defender, Midfield",19yr 5mth,17,"December 31, 2003",Northern Knights,183cm,75kg
darragh joyce,Defender,26yr 2mth,18,"April 23, 1997",Kilkenny,194cm,95kg
david cuningham,"Midfield, Forward",26yr 2mth,42,"March 30, 1997",Oakleigh Chargers,186cm,85kg
david swallow,Midfield,30yr 7mth,211,"November 19, 1992",East Fremantle,185cm,87kg
dayne zorko,"Midfield, Forward",34yr 4mth,239,"February 9, 1989",Broadbeach,175cm,82kg
denver grainger barras,Defender,21yr 2mth,23,"April 17, 2002",Swan Districts,195cm,85kg
deven robertson,Midfield,21yr 11mth,31,"June 30, 2001",Perth,185cm,85kg
dion prestia,Midfield,30yr 8mth,205,"October 12, 1992",Calder Cannons,175cm,82kg
dougal howard,Defender,27yr 3mth,116,"March 25, 1996",Murray Bushrangers,199cm,94kg
dustin martin,"Midfield, Forward",31yr 11mth,282,"June 26, 1991",Bendigo Pioneers,187cm,92kg
dylan grimes,Defender,31yr 11mth,221,"July 16, 1991",Northern Knights,194cm,91kg
dylan moore,Forward,23yr 10mth,66,"August 4, 1999",Eastern Ranges,178cm,76kg
dylan shiel,Midfield,30yr 3mth,209,"March 9, 1993",Aspendale,182cm,84kg
dylan stephens,Midfield,22yr 5mth,39,"January 8, 2001",Norwood,184cm,78kg
dylan williams,"Defender, Forward",21yr 11mth,12,"July 1, 2001",Oakleigh Chargers,186cm,82kg
dyson heppell,"Defender, Midfield",31yr 1mth,226,"May 14, 1992",Gippsland Power,189cm,87kg
ed langdon,Midfield,27yr 4mth,146,"February 1, 1996",Sandringham Dragons,182cm,77kg
ed richards,Defender,23yr 11mth,97,"July 3, 1999",Oakleigh Chargers,188cm,86kg
eddie ford,Forward,21yr,13,"June 21, 2002",Western Jets,189cm,83kg
elijah hewett,Midfield,19yr,5,"May 27, 2004",Swan Districts,185cm,84kg
elijah hollands,Midfield,21yr 2mth,9,"April 25, 2002",Murray Bushrangers,189cm,86kg
elliot yeo,Defender,29yr 8mth,188,"October 1, 1993",East Fremantle,190cm,91kg
eric hipwood,Forward,25yr 9mth,141,"September 13, 1997",Aspley,203cm,92kg
errol gulden,"Midfield, Forward",20yr 11mth,57,"July 18, 2002",Sydney Academy,176cm,78kg
esava ratugolea,"Forward, Ruck",24yr 11mth,70,"July 24, 1998",Murray Bushrangers,198cm,108kg
ethan hughes,"Defender, Midfield",28yr 6mth,95,"December 7, 1994",Swan Districts,188cm,88kg
fergus greene,Forward,25yr 6mth,13,"December 20, 1997",Bendigo Pioneers,187cm,75kg
finn callaghan,Midfield,20yr 1mth,19,"April 26, 2003",Sandringham Dragons,192cm,86kg
finn maginness,"Defender, Midfield",22yr 4mth,23,"February 23, 2001",Sandringham Dragons,189cm,84kg
flynn perez,"Defender, Midfield",21yr 10mth,21,"August 25, 2001",Bendigo Pioneers,188cm,85kg
francis evans,Forward,21yr 10mth,12,"August 23, 2001",Calder Cannons,182cm,83kg
gary rohan,Forward,32yr,186,"June 7, 1991",Geelong Falcons,189cm,93kg
george hewett,Midfield,27yr 5mth,145,"December 29, 1995",North Adelaide,187cm,85kg
george wardlaw,Midfield,19yr,5,"June 11, 2004",Oakleigh Chargers,182cm,79kg
greg clark,Midfield,26yr 1mth,19,"May 24, 1997",Subiaco,195cm,94kg
griffin logue,"Defender, Forward",25yr 2mth,77,"April 13, 1998",Swan Districts,194cm,98kg
gryan miers,Forward,24yr 2mth,97,"March 30, 1999",Geelong Falcons,179cm,81kg
harris andrews,Defender,26yr 6mth,174,"December 11, 1996",Aspley,202cm,100kg
harry cunningham,"Defender, Forward",29yr 6mth,175,"December 6, 1993",Turvey Park,181cm,80kg
harry edwards,Defender,22yr 8mth,30,"October 1, 2000",Swan Districts,200cm,98kg
harry mckay,Forward,25yr 6mth,100,"December 24, 1997",Gippsland Power,204cm,104kg
harry morrison,Midfield,24yr 7mth,85,"November 12, 1998",Murray Bushrangers,183cm,81kg
harry perryman,Midfield,24yr 6mth,96,"December 19, 1998",Collingullie,186cm,84kg
harry rowston,Midfield,18yr 10mth,7,"August 12, 2004",Griffith Swans FNC,182cm,81kg
harry schoenberg,Midfield,22yr 4mth,50,"February 21, 2001",Woodville West Torrens,183cm,83kg
harry sharp,Midfield,20yr 6mth,10,"December 17, 2002",Gwv Rebels,182cm,74kg
harry sheezel,"Defender, Forward",18yr 8mth,14,"October 13, 2004",Sandringham Dragons,185cm,80kg
harvey harrison,Forward,19yr 7mth,3,"November 10, 2003",North Adelaide,181cm,76kg
hayden crozier,Defender,29yr 6mth,141,"December 24, 1993",Eastern Ranges,187cm,81kg
hayden mclean,Forward,24yr 5mth,43,"January 20, 1999",Sandringham,197cm,98kg
hayden young,Defender,22yr 2mth,49,"April 11, 2001",Dandenong Stingrays,189cm,88kg
heath chapman,Defender,21yr 4mth,26,"January 31, 2002",West Perth,193cm,85kg
hewago oea,Forward,21yr 7mth,9,"November 13, 2001",Suns Academy,172cm,70kg
hugh greenwood,Midfield,31yr 3mth,114,"March 6, 1992",Perth Wildcats,191cm,94kg
hugh mccluggage,Midfield,25yr 3mth,143,"March 3, 1998",North Ballarat Rebels,185cm,86kg
hugo ralphsmith,Defender,21yr 7mth,30,"November 9, 2001",Sandringham Dragons,188cm,83kg
hunter clark,"Defender, Midfield",24yr 2mth,79,"March 26, 1999",Dandenong Stingrays,186cm,80kg
isaac cumming,Defender,24yr 10mth,63,"August 11, 1998",Broken Hill,188cm,84kg
isaac heeney,Forward,27yr 1mth,167,"May 5, 1996",Cardiff,185cm,87kg
isaac quaynor,Defender,23yr 5mth,73,"January 15, 2000",Oakleigh Chargers,180cm,87kg
isaac smith,"Midfield, Forward",34yr 5mth,272,"December 30, 1988",North Ballarat,188cm,83kg
ivan soldo,"Forward, Ruck",27yr 2mth,50,"April 14, 1996",Daramalan College,204cm,107kg
izak rankine,Forward,23yr 2mth,62,"April 23, 2000",West Adelaide,181cm,81kg
jack bowes,Defender,25yr 4mth,91,"January 26, 1998",Cairns,187cm,88kg
jack buckley,Defender,25yr 6mth,31,"December 17, 1997",Swans Academy,195cm,90kg
jack buller,Forward,22yr 1mth,1,"May 16, 2001",Claremont,199cm,99kg
jack bytel,Midfield,23yr 3mth,21,"March 14, 2000",Calder Cannons,189cm,82kg
jack carroll,Forward,20yr 6mth,6,"December 20, 2002",East Fremantle,188cm,82kg
jack crisp,Midfield,29yr 8mth,214,"October 2, 1993",Murray Bushrangers,190cm,92kg
jack darling,Forward,31yr,268,"June 13, 1992",West Perth,191cm,95kg
jack ginnivan,Forward,20yr 6mth,36,"December 9, 2002",Bendigo Pioneers,185cm,80kg
jack graham,"Midfield, Forward",25yr 4mth,108,"February 25, 1998",North Adelaide,181cm,83kg
jack gunston,Forward,31yr 8mth,236,"October 16, 1991",Sandringham,193cm,86kg
jack henry,Defender,24yr 9mth,112,"August 29, 1998",Geelong Falcons,192cm,96kg
jack higgins,Forward,24yr 3mth,94,"March 19, 1999",Oakleigh Chargers,178cm,80kg
jack lukosius,Forward,22yr 10mth,87,"August 9, 2000",Woodville-West Torrens,195cm,91kg
jack mahony,Forward,21yr 7mth,44,"November 12, 2001",Sandringham Dragons,178cm,72kg
jack martin,Forward,28yr 4mth,138,"January 29, 1995",Geraldton,186cm,82kg
jack payne,Defender,23yr 8mth,40,"October 15, 1999",Lions Academy,197cm,105kg
jack petruccelle,Forward,24yr 2mth,65,"April 12, 1999",Northern Knights,187cm,82kg
jack riewoldt,Forward,34yr 7mth,339,"October 31, 1988",Tassie Mariners,193cm,92kg
jack ross,Midfield,22yr 9mth,54,"September 3, 2000",Oakleigh Chargers,187cm,87kg
jack scrimshaw,Defender,24yr 9mth,75,"September 4, 1998",Sandringham Dragons,193cm,89kg
jack silvagni,Forward,25yr 6mth,111,"December 17, 1997",Oakleigh Chargers,194cm,91kg
jack sinclair,Defender,28yr 4mth,155,"February 12, 1995",Oakleigh Chargers,181cm,82kg
jack steele,Midfield,27yr 6mth,148,"December 13, 1995",Belconnen,187cm,88kg
jack viney,Midfield,29yr 2mth,185,"April 13, 1994",Oakleigh Chargers,179cm,86kg
jack ziebell,"Defender, Forward",32yr 3mth,272,"February 28, 1991",Murray Bushrangers,188cm,89kg
jackson mead,"Midfield, Forward",21yr 8mth,16,"September 30, 2001",Woodville West Torrens,184cm,85kg
jacob hopper,Midfield,26yr 4mth,122,"February 6, 1997",North Ballarat Rebels,187cm,88kg
jacob koschitzke,Forward,22yr 11mth,44,"July 11, 2000",Albury,196cm,96kg
jacob van rooyen,Forward,20yr 2mth,12,"April 16, 2003",Claremont,193cm,91kg
jacob wehr,Midfield,24yr 11mth,12,"July 5, 1998",Woodville-west Torrens,184cm,75kg
jacob weitering,Defender,25yr 7mth,147,"November 23, 1997",Mount Eliza Football Club,196cm,101kg
jade gresham,"Midfield, Forward",25yr 10mth,126,"August 24, 1997",Northern Knights,177cm,81kg
jai culley,Midfield,20yr 4mth,9,"February 24, 2003",Dandenong Stingrays,193cm,87kg
jai newcombe,Midfield,21yr 10mth,43,"August 2, 2001",Box Hill,186cm,89kg
jaidyn stephenson,Forward,24yr 5mth,103,"January 15, 1999",Eastern Ranges,188cm,75kg
jake bowey,Defender,20yr 9mth,36,"September 12, 2002",Sandringham Dragons,176cm,72kg
jake kelly,Defender,28yr 5mth,140,"January 21, 1995",Oakleigh Chargers,190cm,91kg
jake kolodjashnij,Defender,27yr 10mth,166,"August 9, 1995",Launceston,193cm,96kg
jake lever,Defender,27yr 3mth,149,"March 5, 1996",Calder Cannons,195cm,92kg
jake lloyd,Defender,29yr 9mth,214,"September 20, 1993",North Ballarat Rebels,180cm,80kg
jake melksham,Forward,31yr 9mth,212,"August 29, 1991",Calder Cannons,186cm,85kg
jake riccardi,Forward,23yr 7mth,38,"November 7, 1999",Werribee,195cm,97kg
jake soligo,"Midfield, Forward",20yr 5mth,30,"January 25, 2003",Eastern Ranges,180cm,77kg
jake stringer,Forward,29yr 2mth,184,"April 25, 1994",Bendigo Pioneers,192cm,90kg
jake waterman,Forward,25yr 1mth,84,"May 6, 1998",Claremont,193cm,92kg
jamaine jones,Defender,24yr 8mth,52,"September 29, 1998",North Ballarat Rebels,179cm,81kg
jamarra ugle hagan,Forward,21yr 2mth,36,"April 4, 2002",Oakleigh Chargers,197cm,92kg
james aish,Midfield,27yr 7mth,155,"November 8, 1995",Norwood,183cm,83kg
james blanck,Defender,22yr 7mth,17,"November 20, 2000",Box Hill Hawks,196cm,93kg
james harmes,"Midfield, Forward",27yr 8mth,149,"October 5, 1995",Dandenong Stingrays,186cm,85kg
james jordon,Midfield,22yr 6mth,58,"December 20, 2000",Oakleigh Chargers,187cm,82kg
james madden,Defender,23yr 7mth,12,"November 15, 1999",Dublin,188cm,88kg
james peatling,Forward,22yr 10mth,26,"August 21, 2000",GWS Giants,185cm,78kg
james rowbottom,Midfield,22yr 9mth,83,"September 19, 2000",Oakleigh Chargers,186cm,82kg
james sicily,Defender,28yr 5mth,127,"January 6, 1995",Western Jets,187cm,87kg
james tsitas,"Midfield, Forward",28yr 3mth,3,"March 3, 1995",Geelong Falcons,181cm,84kg
james tunstill,Midfield,19yr 11mth,4,"July 18, 2003",East Perth,187cm,75kg
james worpel,Midfield,24yr 5mth,93,"January 24, 1999",Geelong Falcons,186cm,88kg
jamie cripps,Forward,31yr 2mth,219,"April 23, 1992",East Fremantle,183cm,83kg
jarman impey,Defender,27yr 11mth,164,"July 9, 1995",Murray Bushrangers,178cm,81kg
jarrod berry,Midfield,25yr 4mth,122,"February 5, 1998",North Ballarat Rebels,192cm,90kg
jarrod witts,Ruck,30yr 9mth,156,"September 13, 1992",Sydney University,209cm,111kg
jarryd lyons,Midfield,30yr 11mth,184,"July 22, 1992",Sandringham Dragons,184cm,88kg
jase burgoyne,Defender,19yr 11mth,10,"July 15, 2003",Eagles,186cm,65kg
jason horne francis,"Midfield, Forward",20yr,31,"June 21, 2003",South Adelaide,185cm,81kg
jason johannisen,"Defender, Forward",30yr 7mth,185,"November 8, 1992",East Fremantle,181cm,81kg
jaspa fletcher,Midfield,19yr 4mth,2,"February 24, 2004",Brisbane Lions,183cm,76kg
jaxon prior,Midfield,22yr,33,"June 4, 2001",West Perth,189cm,85kg
jayden hunt,"Defender, Midfield",28yr 2mth,128,"April 3, 1995",Brighton Grammar,187cm,88kg
jayden laverde,Defender,27yr 2mth,101,"April 12, 1996",Western Jets,193cm,91kg
jayden short,Midfield,27yr 5mth,148,"January 24, 1996",Northern Knights,178cm,76kg
jed bews,Defender,29yr 6mth,163,"December 14, 1993",Geelong Falcons,186cm,92kg
jed mcentee,Forward,22yr 4mth,21,"February 15, 2001",Sturt,176cm,78kg
jeremy cameron,Forward,30yr 2mth,224,"April 1, 1993",Dartmore,196cm,94kg
jeremy finlayson,"Forward, Ruck",27yr 4mth,98,"February 9, 1996",Hills Eagles,197cm,94kg
jeremy howe,Defender,32yr 11mth,221,"June 29, 1990",Hobart,190cm,85kg
jeremy mcgovern,Defender,31yr 2mth,166,"April 15, 1992",Claremont,197cm,99kg
jesse hogan,Forward,28yr 4mth,130,"February 12, 1995",Claremont,195cm,102kg
jesse motlop,Forward,19yr 7mth,24,"November 23, 2003",South Fremantle,176cm,76kg
jhye clark,Midfield,18yr 11mth,1,"July 23, 2004",Geelong Falcons,181cm,77kg
jimmy webster,Defender,29yr 11mth,140,"June 28, 1993",Glenorchy,188cm,80kg
joe daniher,Forward,29yr 3mth,165,"March 4, 1994",Calder Cannons,201cm,97kg
joel amartey,Forward,23yr 9mth,20,"September 2, 1999",Sandringham Dragons,197cm,100kg
joel jeffrey,Forward,21yr 3mth,16,"March 12, 2002",Suns Academy,192cm,82kg
john noble,Defender,26yr 3mth,83,"March 25, 1997",West Adelaide,180cm,75kg
jonathon ceglar,Ruck,32yr 4mth,110,"February 14, 1991",Murray Bushrangers,204cm,99kg
jordan boyd,Defender,24yr 9mth,12,"September 22, 1998",Footscray,182cm,80kg
jordan clark,Defender,22yr 8mth,70,"October 16, 2000",Claremont,185cm,84kg
jordan dawson,"Defender, Midfield",26yr 2mth,100,"April 9, 1997",Sturt,192cm,86kg
jordan de goey,Midfield,27yr 3mth,148,"March 15, 1996",Oakleigh Chargers,188cm,93kg
jordan ridley,Defender,24yr 8mth,81,"October 20, 1998",Oakleigh Chargers,195cm,93kg
jordon butts,Defender,23yr 5mth,56,"December 31, 1999",Murray Bushrangers,198cm,97kg
josh battle,Defender,24yr 9mth,91,"September 1, 1998",Dandenong Stingrays,193cm,92kg
josh bruce,"Defender, Forward",31yr,161,"June 8, 1992",Canberra,198cm,97kg
josh carmichael,"Midfield, Forward",23yr 9mth,8,"September 23, 1999",West Adelaide,190cm,89kg
josh corbett,Forward,27yr 2mth,37,"April 23, 1996",Werribee,190cm,90kg
josh daicos,Midfield,24yr 6mth,91,"November 26, 1998",Oakleigh Chargers,178cm,78kg
josh dunkley,"Midfield, Forward",26yr 5mth,130,"January 9, 1997",Gippsland Power,191cm,91kg
josh fahey,"Defender, Midfield",19yr 7mth,3,"November 11, 2003",GWS Academy,187cm,76kg
